"Outcome","Effect level","Feature","Private beta [95% CI]","Public beta [95% CI]","Context interaction beta [95% CI]","Interaction p","Interaction pFDR"
"Trait NA","Between-person","Pos. emotion","0.00 [-0.14, 0.15]","-0.11 [-0.21, -0.02]","-0.12 [-0.27, 0.04]",0.152,0.304
"Trait NA","Between-person","Neg. emotion","0.17 [0.05, 0.29]","0.04 [-0.10, 0.17]","-0.14 [-0.31, 0.03]",0.115,0.304
"Trait NA","Between-person","I","0.10 [-0.01, 0.21]","0.16 [0.00, 0.33]","0.06 [-0.11, 0.24]",0.492,0.656
"Trait NA","Between-person","We","-0.20 [-0.29, -0.11]","-0.22 [-0.34, -0.10]","-0.02 [-0.15, 0.12]",0.796,0.796
"Trait PA","Between-person","Pos. emotion","0.07 [-0.07, 0.21]","0.06 [-0.03, 0.14]","-0.01 [-0.16, 0.14]",0.88,0.88
"Trait PA","Between-person","Neg. emotion","-0.13 [-0.25, -0.02]","0.04 [-0.06, 0.14]","0.17 [0.02, 0.33]",0.0239,0.0955
"Trait PA","Between-person","I","-0.07 [-0.17, 0.04]","-0.12 [-0.28, 0.05]","-0.05 [-0.23, 0.12]",0.571,0.761
"Trait PA","Between-person","We","0.20 [0.12, 0.28]","0.13 [0.01, 0.26]","-0.07 [-0.20, 0.06]",0.265,0.531
"Daily valence","Within-person","Pos. emotion","-0.00 [-0.03, 0.02]","-0.03 [-0.08, 0.02]","-0.03 [-0.09, 0.03]",0.317,0.509
"Daily valence","Within-person","Neg. emotion","-0.00 [-0.04, 0.04]","0.00 [-0.04, 0.04]","0.01 [-0.05, 0.07]",0.856,0.856
"Daily valence","Within-person","I","-0.02 [-0.05, 0.01]","0.01 [-0.05, 0.07]","0.03 [-0.04, 0.10]",0.382,0.509
"Daily valence","Within-person","We","0.02 [-0.01, 0.05]","-0.02 [-0.07, 0.04]","-0.03 [-0.10, 0.03]",0.281,0.509
"Momentary valence","Within-person","Pos. emotion","0.00 [-0.04, 0.04]","-0.05 [-0.30, 0.19]","-0.06 [-0.31, 0.20]",0.658,0.658
"Momentary valence","Within-person","Neg. emotion","-0.01 [-0.03, 0.02]","0.03 [-0.06, 0.12]","0.03 [-0.06, 0.13]",0.483,0.658
"Momentary valence","Within-person","I","-0.02 [-0.07, 0.02]","0.08 [-0.26, 0.42]","0.11 [-0.24, 0.46]",0.542,0.658
"Momentary valence","Within-person","We","-0.01 [-0.05, 0.02]","0.19 [-0.05, 0.42]","0.20 [-0.04, 0.44]",0.0994,0.398
