"Symbol","Type","Private PA beta [95% CI]","Private NA beta [95% CI]","Public PA beta [95% CI]","Public NA beta [95% CI]"
"😩","Emoji","0.05 [0.03, 0.07]","-0.05 [-0.09, -0.01]","2.32 [2.01, 2.62]","-1.61 [-1.91, -1.31]"
"🍷","Emoji","0.02 [-0.02, 0.06]","-0.08 [-0.15, -0.01]","0.63 [-0.27, 1.53]","-0.91 [-1.24, -0.59]"
"😚","Emoji","-0.02 [-0.10, 0.06]","0.01 [-0.07, 0.08]","0.88 [0.20, 1.55]","-0.02 [-1.19, 1.15]"
"😜","Emoji","-0.13 [-0.21, -0.06]","0.10 [0.03, 0.18]","-0.30 [-0.44, -0.17]","0.27 [0.07, 0.47]"
"😷","Emoji","0.05 [-0.04, 0.14]","-0.13 [-0.19, -0.07]","-0.18 [-0.25, -0.11]","0.44 [0.37, 0.51]"
"🥴","Emoji","0.02 [-0.03, 0.07]","-0.04 [-0.10, 0.02]","-0.19 [-0.51, 0.14]","0.52 [0.30, 0.74]"
"frown","Emoticon","0.21 [0.07, 0.35]","-0.08 [-0.24, 0.09]","-0.10 [-0.29, 0.09]","0.31 [0.12, 0.50]"
"🧐","Emoji","0.43 [0.04, 0.82]","-0.18 [-0.75, 0.39]","0.02 [0.01, 0.02]","0.05 [0.04, 0.06]"
"🤫","Emoji","0.05 [0.02, 0.09]","0.02 [-0.00, 0.05]","0.32 [0.19, 0.45]","-0.27 [-0.44, -0.10]"
"🍺","Emoji","0.01 [-0.03, 0.05]","-0.05 [-0.10, 0.01]","0.22 [0.14, 0.30]","0.29 [0.12, 0.45]"
